Entity,Code,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths),Air pollution (outdoor & indoor) (deaths),Outdoor air pollution (deaths)
India,IND,1990,807723.2259,636517.8157,430219.2519,691699.0043,122801.6815,6598.317849,861136.0094,292368.8095,518771.2578,189345.941,292070.0358,17754.50585,249311.9691,182861.6502,31745.48756,74071.88525,363235.9547,308292.0591,91428.55886,705723.705,650770.8855,49941.85417,37263.25767,253043.6729,34791.15994,1018675.716,368426.57
India,IND,1991,811265.9069,638456.6346,430207.6328,693852.4155,120834.7021,6663.946536,847509.4954,286347.2117,517552.4203,193888.807,304697.5352,18603.01624,254768.8044,186950.9077,32521.20421,76316.08323,378733.637,,95150.8897,725433.7672,668334.501,49908.32147,36543.30649,252792.1933,36044.47147,1031705.573,380247.34
India,IND,1992,809832.0949,636020.6287,428346.3225,693823.3194,118244.3909,6512.996663,832721.1036,279956.2927,518919.9417,198873.2296,315478.5302,19473.64209,261397.0316,191873.9329,34843.32798,79011.72628,396105.2574,,100634.2987,749610.512,680410.727,50191.13541,36014.07694,251328.0789,37571.27674,1043888.599,393196
India,IND,1993,798193.5484,625142.5128,421085.3844,680356.2421,113499.5935,6086.902085,810052.0576,271468.1619,513340.6056,198535.6007,325331.1102,20093.12451,261257.0233,191682.038,36321.75607,79483.20676,404204.2891,,103813.7454,754994.8513,686448.7975,47460.49254,35379.89911,247549.7745,38435.52799,1034362.609,397038.19
India,IND,1994,782064.1082,611345.708,411623.0162,670049.3665,108452.8797,5617.580276,791943.3607,264109.3303,504012.3415,199021.2449,336492.8354,21102.17313,263751.2068,193294.2058,39498.28058,80402.09185,414214.7379,,108392.9611,765792.6243,694103.4948,45612.41468,34852.89666,243826.8134,39453.15908,1030296.89,403537.63
India,IND,1995,770997.9855,601637.2419,404314.4473,659136.639,103304.9803,5169.259357,774324.8941,256868.2609,492793.3317,199278.0944,343967.3817,22350.91212,264534.9823,193624.7415,44900.2929,81248.62434,423015.2223,354293.896,113125.4519,773606.5719,694732.7861,44383.51234,34225.51489,239076.3561,40524.9775,1025386.182,409781.43
India,IND,1996,757174.1992,590231.3711,395475.5173,653262.9633,97235.34133,4726.993619,748657.0839,247856.3891,478349.57,201058.4099,357996.7502,23896.57401,271363.3545,197918.901,52868.00583,83855.51168,443759.5986,,122574.2745,798854.3238,711212.5966,43974.78331,33122.41554,231963.9196,42058.46214,1032461.343,423644.74
India,IND,1997,756259.4763,589696.9919,393456.1289,671861.3869,92509.35738,4401.07882,721795.7415,238291.6444,474000.3106,208476.4526,387325.1328,26507.92501,289011.7745,209984.4153,64890.68695,90288.65231,485639.0388,,139406.1912,857176.0917,753639.8494,45966.20078,31794.2361,224598.0779,44881.27474,1072920.003,448222.13
India,IND,1998,750757.1052,585826.0562,388720.258,668996.9391,88892.96233,4253.957251,691683.7054,227056.9826,472692.504,209418.0484,401047.4965,28833.3329,292591.4222,211860.4878,78223.82626,92745.2194,506349.6818,,151680.5014,876937.6622,758057.4011,46972.57088,30339.15139,215951.7877,46683.37833,1079256.954,458498.8
India,IND,1999,741045.3527,577967.4818,381265.1672,642748.1845,86196.15713,4293.700457,661414.8974,215472.7701,462179.2557,204088.1613,406780.9301,31394.26873,288508.1597,208542.306,93103.08593,92085.89652,511206.9373,,160323.108,870808.3317,733003.1458,47894.2587,28856.07914,206307.9322,47501.3733,1050957.123,454968.32
India,IND,2000,734455.8641,572125.8089,376339.0291,629573.6696,84637.39936,4258.705212,639991.2898,206268.6457,451389.9321,203119.5113,414822.5469,33806.23936,292251.1399,210259.1424,108189.3021,94369.63137,532994.6972,408517.6534,170359.5009,889423.5155,736787.6271,47540.14351,27567.98175,198694.1761,48970.26101,1047632.182,464607.76
India,IND,2001,718835.9458,559478.171,367703.6314,619160.9953,80677.91805,3782.868914,606418.2663,194155.7146,436992.2378,201657.8166,420310.4604,36037.65874,297378.8054,212919.7246,123071.0311,97478.90586,558776.98,,180547.2216,914124.8132,741364.9802,45033.90235,25271.77658,187569.8705,50923.80029,1049419.489,476874.46
India,IND,2002,700750.5468,544821.641,357291.253,604227.0178,76002.36876,3273.233842,572178.5584,181751.1882,423005.6651,196926.6555,422241.1291,38061.6177,300517.973,214314.5524,137356.3849,99441.26054,582755.3125,,191670.2351,931005.9979,734441.5011,41161.84474,23278.68455,176344.8878,52807.1882,1041326.218,483299.09
India,IND,2003,683466.4598,529869.4559,346840.4285,582220.5003,71788.54824,2924.532955,536602.1188,168734.268,413900.2174,190095.6575,419865.6404,39705.85385,300522.4083,213324.8085,148927.7852,100411.5006,602031.2274,,201314.9586,939947.7434,721521.8294,36941.75275,21552.72982,164694.9079,54279.50702,1025084.858,488115.61
India,IND,2004,668881.3042,515958.8538,338033.9666,552103.8981,68158.89792,2658.520948,506246.0389,157618.4608,404369.1034,180280.3493,410729.8668,40918.78197,291972.9,206396.5529,157285.9533,98667.56048,602934.6191,,204946.3389,923018.4536,694001.9989,34952.58572,20130.95581,154567.6795,55141.12121,992397.2448,483544.98
India,IND,2005,660257.8942,505825.6925,333250.2428,545624.6479,64578.38255,2344.104524,479780.2725,147552.8235,393531.8017,178291.8333,424280.6097,43331.79292,299308.7621,210416.4032,164323.2025,102868.6595,633729.4427,468816.7711,218602.2973,958299.338,704923.0376,34468.62146,18807.01109,145607.6366,58213.90014,1000265.586,497827.7
India,IND,2006,654674.2677,497423.077,329214.6801,546837.6094,61488.86631,1990.621725,454782.7761,137564.2345,382318.9467,179203.3433,438599.8811,44639.0041,309855.0935,217921.218,167978.1302,108985.0774,660654.8444,488954.261,235257.9104,1006446.461,725157.8233,32632.88811,17111.22505,136778.7518,60977.12326,1025864.615,523756.73
India,IND,2007,650617.7678,489606.9735,325868.8083,549219.8389,58591.64913,1731.429866,433088.7519,128569.0726,372127.5762,179616.9358,458732.734,45516.98592,321499.5758,225426.1638,165206.0568,114777.3938,681582.2988,,253635.6101,1057808.897,750616.2341,30334.4655,15620.86211,127828.9575,63859.66456,1053544.246,550599.52
India,IND,2008,648163.4067,481544.8127,322651.3581,548852.731,56138.69294,1664.637589,413313.9589,120167.2749,362921.2475,180241.3537,481435.6544,46385.43663,333369.541,232389.4502,159302.8257,120807.4766,702289.2291,,272985.5592,1111001.093,776942.1913,28775.27875,14332.05127,119474.6194,67150.55317,1079994.953,578836.16
India,IND,2009,651194.0599,476656.9839,321282.3525,547817.3069,54242.15683,1707.4589,393356.2292,111859.0845,357141.6047,181238.9327,499326.6286,47183.7636,342939.4399,237951.7036,151916.5357,126880.8179,718453.2273,,292622.8435,1161158.401,797954.8122,27732.34968,12963.44196,111923.5769,68789.46175,1102674.686,603864.16
India,IND,2010,656580.0425,473093.9055,321058.2874,550363.8975,53166.66832,1817.688552,376323.4114,104208.508,354599.6116,185621.6379,513561.9412,47516.42296,354165.7199,244073.7132,141189.9188,134006.8433,745662.196,582452.5781,316329.6758,1216791.476,818069.5945,27034.61918,11673.06291,106245.1884,70901.62204,1132044.371,632171.65
India,IND,2011,645210.7307,457656.6462,313755.179,551432.3215,52162.27505,1916.172493,356571.0368,95330.44985,350313.7342,191643.6048,529265.394,47812.61356,365741.7054,249797.1386,130455.4375,141680.5016,785955.1261,,342353.4287,1273709.847,841311.0006,25420.47521,10494.01667,97490.90476,73106.41928,1164662.899,665088.69
India,IND,2012,625665.6091,434398.4699,302658.0757,563339.6875,51151.27414,2037.333723,339512.2694,87667.33066,344468.4604,196719.5125,542264.3012,47523.62792,375335.5015,253633.1171,120144.8676,148272.9257,824381.9132,,367972.8718,1325460.109,861356.2188,21812.92281,9435.224044,90792.89781,74944.12125,1175900.521,664794.19
India,IND,2013,604731.7691,405370.4932,289350.1457,542067.3894,48605.79226,2097.360537,313727.0655,78130.24644,329855.0104,201799.6806,548202.5881,48241.76263,379839.8528,253567.5396,113213.3064,153352.2467,856495.5224,,394982.8867,1367356.26,868037.6879,19605.28876,8256.087523,81789.54226,78916.48045,1193266.266,704898.66
India,IND,2014,588806.9726,377367.6562,276761.9034,525296.8903,44444.69785,2044.993931,278530.0649,66920.65416,307399.381,207183.405,549037.7964,49079.22732,383674.5715,253042.2481,106701.5483,158534.1804,889190.1701,,425987.4331,1410189.561,866247.8497,18139.91231,6919.476819,71404.44134,82747.63362,1199984.922,729767.92
India,IND,2015,573767.0403,352445.5677,267021.085,511055.8769,41402.48083,1969.301334,254844.6087,59443.18739,295296.3805,213749.7075,554102.9818,49960.72654,388868.0728,253519.165,100097.3158,164269.3147,925496.8489,,459958.7446,1457130.632,871785.3241,16280.00593,5895.920793,65148.85365,86650.51768,1217470.883,763356.15
India,IND,2016,560745.6633,332744.6846,258164.9075,500517.1481,36956.76102,1758.432018,227107.4988,51520.78867,277105.4753,220874.508,571410.2651,51902.0096,397128.6103,256122.4335,93908.04282,171150.2223,972142.3106,707776.515,499701.1215,1514945.058,889962.3527,15710.33819,4913.013901,58793.05777,90630.25327,1233018.222,791135.91
India,IND,2017,569679.1687,328719.9721,257783.857,481737.838,33415.29006,1611.15161,207270.626,45424.68429,259862.4736,225812.8421,580499.0008,53281.22336,398063.3872,253495.0371,88619.35375,174895.731,1003224.995,,532151.0213,1544920.203,894371.5186,15245.43143,4313.62253,54836.04043,93208.78874,1240528.7,818803.38
